STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,POP100_RE,HU100_RE,BG_ID_10,CT_ID_10,BOSNA_R_ID,NSA_NAME,BRA_PD_ID,BRA_PD,ZIPCODE,City_Counc,WARD,PRECINCTS,ISD_Nbhd,Police_Dis,Fire_Distr,PWD,Blk_ID_10
25,025,000100,1000,250250001001000,Block 1000,G5040,5977,0,+42.3724295,-071.1297009,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2134,9,22,198,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001000
25,025,000100,1001,250250001001001,Block 1001,G5040,424234,0,+42.3673237,-071.1291966,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2134,9,22,198,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001001
25,025,000100,1002,250250001001002,Block 1002,G5040,13179,0,+42.3637024,-071.1344763,9.000000,6.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2134,9,22,198,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001002
25,025,000100,1003,250250001001003,Block 1003,G5040,16524,0,+42.3639848,-071.1293815,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2134,9,22,198,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001003
25,025,000100,1004,250250001001004,Block 1004,G5040,14153,0,+42.3721880,-071.1302231,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2134,9,22,198,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001004
25,025,000100,1005,250250001001005,Block 1005,G5040,11404,0,+42.3634802,-071.1407588,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001005
25,025,000100,1006,250250001001006,Block 1006,G5040,26509,0,+42.3637239,-071.1363627,124.000000,43.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001006
25,025,000100,1007,250250001001007,Block 1007,G5040,78065,0,+42.3617817,-071.1375639,101.000000,80.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,90,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001007
25,025,000100,1008,250250001001008,Block 1008,G5040,69900,0,+42.3627599,-071.1413954,6.000000,10.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001008
25,025,000100,1009,250250001001009,Block 1009,G5040,7382,0,+42.3616798,-071.1458092,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001009
25,025,000100,1010,250250001001010,Block 1010,G5040,480,0,+42.3615814,-071.1460094,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,200,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001010
25,025,000100,1011,250250001001011,Block 1011,G5040,3651,0,+42.3603616,-071.1492818,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,200,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001011
25,025,000100,1012,250250001001012,Block 1012,G5040,7867,0,+42.3607421,-071.1471729,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,200,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001012
25,025,000100,1013,250250001001013,Block 1013,G5040,5468,0,+42.3601282,-071.1467349,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,200,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001013
25,025,000100,1014,250250001001014,Block 1014,G5040,432,0,+42.3615507,-071.1455758,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001014
25,025,000100,1015,250250001001015,Block 1015,G5040,10367,0,+42.3611985,-071.1451668,55.000000,21.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001015
25,025,000100,1016,250250001001016,Block 1016,G5040,5297,0,+42.3615509,-071.1438976,12.000000,4.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001016
25,025,000100,1017,250250001001017,Block 1017,G5040,11862,0,+42.3612401,-071.1434424,142.000000,69.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001017
25,025,000100,1018,250250001001018,Block 1018,G5040,14447,0,+42.3618352,-071.1417690,84.000000,24.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001018
25,025,000100,1019,250250001001019,Block 1019,G5040,19798,0,+42.3615558,-071.1405185,185.000000,75.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001019
25,025,000100,1020,250250001001020,Block 1020,G5040,5396,0,+42.3612027,-071.1395828,23.000000,6.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001020
25,025,000100,1021,250250001001021,Block 1021,G5040,5868,0,+42.3606577,-071.1398867,54.000000,26.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001021
25,025,000100,1022,250250001001022,Block 1022,G5040,9253,0,+42.3610311,-071.1420930,73.000000,30.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001022
25,025,000100,1023,250250001001023,Block 1023,G5040,20218,0,+42.3581599,-071.1431936,2.000000,1.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001023
25,025,000100,1024,250250001001024,Block 1024,G5040,41069,0,+42.3594426,-071.1456489,159.000000,66.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001024
25,025,000100,1025,250250001001025,Block 1025,G5040,9280,0,+42.3605798,-071.1453002,23.000000,12.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,199,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001025
25,025,000100,1026,250250001001026,Block 1026,G5040,8883,0,+42.3584269,-071.1510183,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,200,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001026
25,025,000100,1027,250250001001027,Block 1027,G5040,106605,0,+42.3593291,-071.1514225,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,200,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001027
25,025,000100,1028,250250001001028,Block 1028,G5040,547,0,+42.3585514,-071.1580364,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2135,9,22,200,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001028
25,025,000100,1029,250250001001029,Block 1029,G5040,3592,0,+42.3629727,-071.1305076,0.000000,0.000000,250250001001,25025000100,1,Allston,8,Allston/Brighton,2134,9,22,198,Allston/Brighton,14,11,2-04:  Allston/Brighton,250250001001029
