Line, Peak OTP,
230,50.56,
Green-C,25.32,
29,44.35,
CR-Lowell,88.59,
106,61.09,
78,52.89,
Orange,5.71,
89,55.35,
74,62.88,
120,58.45,
Green-E,25.29,
Green-B,21.01,
220,63.61,
Red,6.68,
40,42.86,
8,48.04,
210,54.41,
201,68.04,
132,69.46,
CR-Franklin,85.37,
94,62.49,
Green-D,21.68,
CR-Fairmount,97.33,
CR-Worcester,72.8,
211,50.44,
112,40.88,
216,78.67,
60,66.55,
30,56.04,
111,77.53,
CR-Providence,84.11,
26,52.39,
Blue,3.71,
80,58.11,
192,,
225,61.77,
28,70.59,
57,75.54,
215,41.23,
32,79.76,
108,54.82,
5,41.79,
751,73.75,
105,40.11,
CR-Newburyport,82.43,
117,74.32,
137,37.9,
99,49.76,
193,,
429,58.94,
23,73.42,
18,47.55,
1,71.24,
43,51.12,
55,67.22,
426,58.8,
41,37.06,
CR-Fitchburg,80.7,
749,78.05,
134,59.52,
441,70.73,
33,63.23,
37,63.0,
442,67.25,
66,72.77,
236,51.39,
212,55.01,
411,42.83,
90,58.15,
CR-Needham,81.05,
35,63.4,
38,61.9,
746,90.34,
504,75.54,
39,78.83,
222,62.43,
24,68.65,
36,57.68,
465,55.84,
42,55.78,
50,57.74,
88,69.95,
9,71.84,
100,57.94,
116,70.69,
430,53.24,
86,56.67,
104,56.26,
95,53.68,
70,53.6,
93,65.47,
553,51.18,
11,69.81,
7,74.51,
83,64.47,
101,64.9,
202,57.13,
350,52.76,
75,60.8,
450,49.9,
91,46.19,
16,46.38,
436,58.92,
44,62.71,
110,59.88,
14,42.43,
240,47.61,
CR-Haverhill,85.51,
17,57.04,
71,77.81,
119,59.94,
77,74.09,
435,44.25,
455,49.95,
10,54.32,
73,82.31,
21,69.29,
109,62.93,
97,50.05,
CR-Kingston,92.43,
34,68.18,
195,37.39,
Greenbush,93.79,
CR-Greenbush,93.79,
87,60.63,
45,68.28,
69,74.59,
194,,
22,72.39,
51,60.52,
72,66.34,
47,56.5,
15,73.36,
31,78.06,
238,48.54,
92,60.3,
65,72.9,
64,55.79,
96,59.52,
171,,
59,65.77,
191,,
136,48.26,
449,40.23,
221,54.96,
131,68.69,
354,45.42,
84,65.32,
351,70.74,
556,48.46,
424,51.03,
326,58.53,
4,58.23,
747,41.53,
701,44.86,
79,62.55,
114,55.97,
245,58.85,
68,63.72,
19,45.42,
217,53.99,
9701,,
503,72.42,
428,55.18,
558,47.08,
434,41.78,
708,45.41,
501,73.69,
214,77.25,
62,60.86,
85,70.51,
505,63.21,
27,48.36,
451,62.11,
448,47.03,
439,58.58,
52,51.87,
325,47.27,
67,63.58,
554,53.73,
170,56.83,
352,62.51,
121,76.28,
459,41.47,
456,75.42,
76,57.86,
9703,,
502,83.02,
9702,,
