neighborhood,Allston,Back Bay,Beacon Hill,Brighton,Charlestown,Dorchester,Downtown,East Boston,Fenway,Hyde Park,Jamaica Plain,Longwood,Mattapan,Mission Hill,North End,Roslindale,Roxbury,South Boston,South Boston Waterfront,South End,West End,Harbor Islands,West Roxbury
Allston,0.0,3.0778473463970797,4.3949371343796,1.4613995028393925,4.836602545837743,4.848875936686995,2.3229390258631217,7.16553734582837,2.8838360840107953,2.240952390338735,1.679266177922831,1.5314057642044265,3.233546098061726,1.5948060806364035,14.144867596453999,1.4933979590784687,3.34652495397556,5.7254033231185115,6.234179334678536,4.0565813892002565,9.32804669457703,24.083485397339125,2.3229390258631217
Back Bay,3.077847346396911,0.0,1.3300853868712128,4.535879607672507,1.8089562465893319,1.9119423041673624,5.022177203581405,4.116449655601915,0.22245794970407828,3.2677871221145898,1.6830250616266291,1.567798586414554,1.914147781753919,1.5642328904481084,14.61149530705628,3.3370570419323706,0.5254858399820852,2.6518132021656124,3.1565178848904694,0.9865680532569914,12.403580364784458,21.39175296343507,5.022177203581405
Beacon Hill,4.394937134379553,1.3300853868711877,0.0,5.855774707577912,0.519435415326287,1.1829303072235056,6.339256315850367,2.7865414330268474,1.542476861162386,4.455194106564402,2.9905798585981547,2.8969381377547623,2.720584428332695,2.8929324111588604,15.207921704894337,4.625689289796054,1.278898302225441,1.3989543257413957,1.8527172959198106,0.4948707607176282,13.709463241868729,20.158844407458098,6.339256315850367
Brighton,1.4613995028392754,4.53587960767247,5.855774707577832,0.0,6.297583997016892,6.269701049556873,1.4989946104166596,8.626668391104026,4.338372764455075,2.9060635932435734,3.044574831949637,2.9776661247731617,4.454148564512816,3.020238991169999,14.033700447711613,2.067764753033692,4.7826076244578415,7.1786706494912345,7.692283027449127,5.510559772100619,7.880627123923844,25.44019680007794,1.4989946104166596
Charlestown,4.836602545837669,1.8089562465893687,0.5194354153261204,6.297583997016872,0.0,1.430639434833329,6.830629267390898,2.3292266510839204,2.0276135026067674,4.97339637051842,3.4860547760723315,3.3629918287164458,3.22766126894342,3.371265442350738,15.63977886431302,5.129891670789422,1.7975774760909335,1.1727625692889225,1.5053819634788588,1.0096687736764831,14.126678641821247,19.640748409758345,6.830629267390898
Dorchester,4.848875936686732,1.9119423041675923,1.182930307223545,6.269701049556904,1.4306394348333296,0.0,6.484548580050672,2.8763027535917787,2.0436038103058163,4.32988128344099,3.2354283979288483,3.322622744431244,2.3308304361492613,3.2558059881270545,14.29174158030376,4.709524287431907,1.513693987430603,1.1831443575606169,1.7492462596855327,1.0388106205216905,14.144759005444575,20.473896222750664,6.484548580050672
Downtown,2.3229390258630676,5.022177203581231,6.339256315850401,1.4989946104166552,6.830629267390971,6.484548580050551,0.0,9.115204806151985,4.803017623975257,2.3669461217429832,3.3491735011478516,3.503458206630344,4.332046130203672,3.4682296172866405,12.571210057337655,1.777565338610048,5.122044889751223,7.534343662779396,8.086209387072916,5.91881227066001,7.899305509170777,26.31974839479094,0.0
East Boston,7.165537345828378,4.116449655601862,2.786541433026983,8.626668391104023,2.329226651083844,2.8763027535915717,9.115204806151956,0.0,4.328673428791126,7.1215721277013255,5.76710086660098,5.681872045157646,5.1861321946107655,5.679340191361265,16.777237478819057,7.380223010001973,4.001129414922111,1.6936197948947211,1.1295512997870172,3.197354811364327,16.449104044933286,17.597894073585056,9.115204806151956
Fenway,2.8838360840107544,0.22245794970407567,1.5424768611625002,4.338372764455122,2.027613502606998,2.0436038103058007,4.803017623975346,4.328673428791266,0.0,3.0514037472473285,1.4613764388503196,1.3634444458882833,1.7748416690052673,1.3507192222151942,14.460670756807554,3.1147082057085753,0.5647669252481284,2.841568888728605,3.355617194383417,1.1727553408714324,12.211809056846263,21.613969314254394,4.803017623975346
Hyde Park,2.2409523903387334,3.267787122114556,4.455194106564259,2.906063593243594,4.9733963705182545,4.329881283440943,2.3669461217431453,7.12157212770113,3.0514037472471442,0.0,1.7382216524868441,2.1678070914915755,2.0428846672563674,2.0261240154416584,12.0430573490233,0.8473914824407625,3.176365765145418,5.461216640908278,6.030472206284249,3.9795935036484376,10.265749810331828,24.61403175114357,2.3669461217431453
