['42.3548561', '-71.0661193']
['42.363543', '-71.05525']
['42.2575459', '-71.16650279999999']
['42.36606159999999', '-71.0482911']
['42.3711969', '-71.04638879999999']
['42.328589', '-71.15486290000001']
['42.3613114', '-71.0482911']
['42.36482789999999', '-71.04549999999998']
['42.23746990000001', '-71.13566399999998']
['42.3514653', '-71.0601767']
['42.355674', '-71.0558949']
['42.34639809999999', '-71.06556390000001']
['42.3654231', '-71.05497679999998']
['42.3681969', '-71.05108990000001']
['42.3603599', '-71.058525']
['42.3652917', '-71.0646337']
['42.371942', '-71.057408']
['42.35532509999999', '-71.0792381']
['42.339904', '-71.0898892']
['42.3554169', '-71.08051689999998']
['42.330787', '-71.1130561']
['42.353068', '-71.0765188']
['42.35801800000001', '-71.062575']
['42.316016', '-71.10177009999998']
['42.3377967', '-71.07057629999998']
['42.3478658', '-71.05904']
['42.3262559', '-71.088245']
['42.32182359999999', '-71.08840359999998']
['42.3343549', '-71.06643100000001']
['42.3004869', '-71.137877']
['42.33191670000001', '-71.09880249999998']
['42.338336', '-71.08145710000002']
['42.302098', '-71.1332088']
['42.306544099999996', '-71.08246129999998']
['42.31857290000001', '-71.06993779999998']
['42.296051', '-71.09528900000001']
['42.29671460000001', '-71.05274820000001']
['42.3112249', '-71.03102700000001']
['42.28033900000001', '-71.07185890000001']
['42.2826027', '-71.067605']
['42.305237', '-71.0402221']
['42.267019899999994', '-71.10601700000001']
['42.3157363', '-71.05274820000001']
['42.330791', '-71.03136690000001']
['42.301057', '-71.078823']
['42.2771417', '-71.0913748']
['42.291381', '-71.069357']
['42.25963100000001', '-71.1135939']
['42.3364553', '-71.0349193']
['42.349047799999994', '-71.00696789999998']
['42.3214598', '-71.062867']
['42.3695431', '-71.0200613']
['42.398275899999994', '-70.9824941']
['42.3467989', '-71.060957']
['42.37954089999999', '-71.0646337']
['42.394996', '-71.04429809999998']
['42.36865299999999', '-71.0809469']
['42.3097365', '-71.1151431']
['42.33193989999999', '-71.09367990000001']
['42.28736689999999', '-71.13714879999998']
['42.2832142', '-71.1270268']
['42.29890290000001', '-71.0945491']
['42.2683211', '-71.147662']
['42.2797554', '-71.1626756']
['42.300443', '-71.1311328']
['42.25499689999999', '-71.19115500000001']
['42.3593008', '-71.1270268']
['42.37437389999999', '-71.11053299999999']
['42.34602279999999', '-71.143925']
['42.3463503', '-71.1626756']
['42.3669119', '-71.13515500000003']
['42.33526810000001', '-71.17479800000002']
['42.2527785', '-71.1299976']
['42.279001', '-71.09992170000001']
['42.224263', '-71.15038100000001']
['42.3663518', '-71.11959949999998']
['42.36944889999999', '-71.1097121']
['42.3518169', '-71.15826179999998']
['42.346486799999994', '-71.0832041']
['42.349243', '-71.078976']
['42.266595', '-71.1206069']
['42.360480200000005', '-71.0590624']
['42.362511100000006', '-71.0568251']
['42.358875', '-71.06110009999998']
['42.351727200000006', '-71.04086240000001']
['42.359733', '-71.00924479999998']
['42.3100359', '-71.101703']
['42.347618100000005', '-71.1002881']
['42.354614899999994', '-71.087588']
['42.3319318', '-71.127257']
['42.2771417', '-71.0913748']
['42.291381', '-71.069357']
['42.25963100000001', '-71.1135939']
['42.317819799999995', '-71.1626756']
['42.344252000000004', '-71.132498']
['42.294609', '-71.186954']
['42.3601', '-71.0589']
['42.3588', '-71.0707']
['42.2771', '-71.0914']
['42.3475975', '-71.0753291']
['42.3097', '-71.1151']
['25.8876', '-80.1312']
['42.3782', '-71.0602']
['42.3539038', '-71.1337112']
['42.3016', '-71.0676']
['42.364506', '-71.038887']
['42.3388', '-71.0765']
['42.3381', '-71.0476']
['42.3427', '-71.1099']
['42.3429', '-71.1003']
['42.3464', '-71.1627']
['42.3702', '-71.0389']
['42.361145', '-71.057083']
['42.3644', '-71.0661']
['42.2832', '-71.127']
['42.3647', '-71.0542']
['42.3296', '-71.1062']
['42.2798', '-71.1627']
['42.2565', '-71.1241']
