City/Town,Ward,Pct,"Clinton/ Kaine","Trump/ Pence","Johnson/ Weld","Stein/ Baraka","Mcmullin/ Johnson","Kotlikoff/ Leamer","Feegbeh/ O'Brien","Moorehead/ Lilly","Schoenke/ Mitchel","All Others","No Preference","Blank Votes","Total Votes Cast"
Abington,-,1,818,717,97,25,0,0,0,0,0,30,0,22,"1,709"
Abington,-,2,739,785,67,27,0,0,0,0,0,12,0,41,"1,671"
Abington,-,3,773,808,80,18,0,0,0,0,0,13,0,34,"1,726"
Abington,-,4,877,878,87,16,0,0,0,0,0,26,0,35,"1,919"
Abington,-,5,908,829,86,16,0,0,0,0,0,20,0,28,"1,887"
Acton,-,1,"1,459",438,89,30,4,0,0,0,0,27,0,37,"2,084"
Acton,-,2,"1,550",480,96,26,8,0,0,0,0,35,0,33,"2,228"
Acton,-,3,"1,580",435,90,44,14,0,0,0,0,43,0,29,"2,235"
Acton,-,4,"1,675",414,104,45,4,0,0,0,0,52,0,18,"2,312"
Acton,-,5,"1,580",387,95,33,4,0,0,0,0,32,0,36,"2,167"
Acton,-,6,"1,354",401,78,30,6,0,0,0,0,41,0,31,"1,941"
Acushnet,-,1,783,786,58,26,5,0,0,0,0,14,0,30,"1,702"
Acushnet,-,2,756,"1,043",57,29,0,0,0,0,0,29,0,44,"1,958"
Acushnet,-,3,862,"1,005",59,32,0,0,0,0,0,22,0,32,"2,012"
Adams,-,1,439,255,33,20,0,0,0,0,0,5,0,15,767
Adams,-,2,476,270,44,17,0,0,0,0,0,10,0,12,829
Adams,-,3,475,268,36,17,3,0,0,0,0,10,0,10,819
Adams,-,4,446,233,31,15,2,0,0,0,0,5,0,8,740
Adams,-,5,577,259,45,11,6,0,0,0,0,13,0,14,925
Agawam,-,1,631,827,82,33,0,0,0,0,0,11,0,21,"1,605"
Agawam,-,2,850,"1,069",105,25,0,0,0,0,0,30,0,20,"2,099"
Agawam,-,3,770,921,70,16,5,0,0,0,0,15,0,17,"1,814"
Agawam,-,4,700,724,69,28,0,0,0,0,0,24,0,19,"1,564"
Agawam,-,5,861,998,101,39,0,0,0,0,0,24,0,27,"2,050"
Agawam,-,6,783,882,79,18,1,0,0,0,0,24,0,25,"1,812"
Agawam,-,7,750,991,81,26,3,0,0,0,0,25,0,38,"1,914"
Agawam,-,8,863,"1,009",64,23,0,0,0,0,0,35,0,25,"2,019"
Alford,-,1,226,52,8,8,0,0,0,0,0,5,0,8,307
Amesbury,-,1,930,623,102,14,3,0,0,0,0,36,0,32,"1,740"
Amesbury,-,2,901,503,87,34,4,0,0,0,0,23,0,24,"1,576"
Amesbury,-,3,960,498,82,25,2,0,0,0,0,16,0,39,"1,622"
Amesbury,-,4,805,502,86,28,3,0,0,0,0,14,0,19,"1,457"
Amesbury,-,5,745,675,90,22,0,0,0,0,0,32,0,31,"1,595"
Amesbury,-,6,833,430,80,28,1,0,0,0,0,24,0,16,"1,412"
Amherst,-,1,955,101,37,79,0,0,0,0,0,21,0,10,"1,203"
Amherst,-,2,"1,409",143,51,83,0,0,0,0,0,34,0,11,"1,731"
Amherst,-,3,908,125,56,37,4,0,0,0,0,14,0,10,"1,154"
Amherst,-,4,910,162,46,21,0,0,0,0,0,31,0,16,"1,186"
Amherst,-,5,"1,023",95,19,40,3,0,0,0,0,11,0,16,"1,207"
Amherst,-,6,"1,464",134,40,64,0,0,0,0,0,34,0,22,"1,758"
Amherst,-,7,"1,440",131,37,64,2,0,0,0,0,31,0,12,"1,717"
Amherst,-,8,"1,644",124,42,80,2,0,0,0,0,24,0,16,"1,932"
Amherst,-,9,"1,382",79,48,91,0,0,0,0,0,29,0,16,"1,645"
Amherst,-,10,"1,222",154,69,54,0,0,0,0,0,24,0,10,"1,533"
Andover,-,1,"1,101",433,88,24,1,0,0,0,0,26,0,24,"1,697"
Andover,-,2,"1,312",865,84,28,6,0,0,0,0,27,0,54,"2,376"
Andover,-,3,"1,431",651,116,33,3,0,0,0,0,27,0,31,"2,292"
Andover,-,4,"1,162",818,108,20,2,0,0,0,0,37,0,43,"2,190"
Andover,-,5,"1,257",758,105,18,0,0,0,0,0,45,0,36,"2,219"
Andover,-,6,"1,207",842,97,28,10,0,0,0,0,30,0,40,"2,254"
Andover,-,7,980,548,77,12,1,0,0,0,0,34,0,30,"1,682"
Andover,-,7A,256,163,24,1,3,0,0,0,0,9,0,14,470
Andover,-,8,"1,278",685,99,16,11,0,0,0,0,50,0,37,"2,176"
Andover,-,9,"1,232",752,95,22,6,0,0,0,0,49,0,44,"2,200"
Andover,-,9A,6,7,2,0,0,0,0,0,0,1,0,0,16
Aquinnah,-,1,232,34,6,7,0,0,0,0,0,5,0,3,287
Arlington,-,1,802,173,20,19,0,0,0,0,0,17,0,17,"1,048"
